,Game,BatPos,Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details,Name,Date,HomeGame
111,9,2,Robinson Cano 2B,4.0,1.0,1.0,0.0,1.0,0.0,5.0,0.209,0.244,0.372,0.617,22.0,13.0,-0.02,0.75,0.045,-0.064,0.2,4.0,3.0,,Robinson_Cano,201904090,True
112,9,3,Michael Conforto RF,3.0,3.0,2.0,1.0,2.0,0.0,5.0,0.375,0.457,0.7,1.157,28.0,11.0,0.133,0.8,0.173,-0.04,2.0,2.0,0.0,"HR,2B",Michael_Conforto,201904090,True
113,9,4,J.D. Davis 3B,3.0,0.0,1.0,0.0,2.0,1.0,5.0,0.286,0.394,0.571,0.965,25.0,11.0,0.04,0.97,0.081,-0.041,1.1,0.0,1.0,,J.D._Davis,201904090,True
114,9,5,Jeff McNeil LF,4.0,0.0,0.0,1.0,1.0,1.0,5.0,0.346,0.469,0.5,0.969,25.0,15.0,-0.166,1.4,0.01,-0.177,-0.8,1.0,0.0,,Jeff_McNeil,201904090,True
115,9,6,Amed Rosario SS,5.0,0.0,3.0,1.0,0.0,0.0,5.0,0.275,0.326,0.375,0.701,18.0,14.0,0.161,0.7,0.192,-0.031,1.1,0.0,4.0,2B,Amed_Rosario,201904090,True
116,9,7,Travis d'Arnaud C,5.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,22.0,14.0,-0.131,0.75,0.0,-0.131,-1.6,8.0,1.0,,Travis_d'Arnaud,201904090,True
117,9,8,Jacob deGrom P,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.167,0.167,0.667,0.833,5.0,2.0,-0.061,2.09,0.0,-0.061,-0.6,0.0,1.0,,Jacob_deGrom,201904090,True
118,9,9,   Dominic Smith PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,0.538,0.455,0.993,4.0,2.0,-0.023,0.8,0.0,-0.023,-0.2,,,,Dominic_Smith,201904090,True
119,9,11,   Juan Lagares PH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.158,0.238,0.316,0.554,5.0,3.0,-0.006,0.24,0.0,-0.006,-0.1,,,,Juan_Lagares,201904090,True
120,9,14,   Luis Guillorme PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.333,0.2,0.533,12.0,9.0,-0.003,0.1,0.0,-0.003,-0.3,,,,Luis_Guillorme,201904090,True
121,9,16,   Wilson Ramos PH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.387,0.406,0.419,0.826,6.0,3.0,-0.001,0.05,0.0,-0.001,-0.5,,,,Wilson_Ramos,201904090,True
122,9,17,Team Totals,38.0,8.0,11.0,8.0,7.0,8.0,45.0,0.289,0.4,0.684,1.084,219.0,126.0,-0.019,0.81,0.684,-0.703,3.6,27.0,10.0,,Team_Totals,201904090,True
123,10,0,Brandon Nimmo CF,3.0,2.0,1.0,1.0,0.0,2.0,4.0,0.167,0.318,0.306,0.624,15.0,10.0,0.089,1.69,0.151,-0.061,0.8,2.0,0.0,HBP,Brandon_Nimmo,201904100,True
124,10,1,   Dominic Smith 1B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.417,0.5,0.417,0.917,7.0,4.0,-0.002,0.02,0.0,-0.002,-0.4,2.0,0.0,,Dominic_Smith,201904100,True
125,10,2,Pete Alonso 1B,2.0,1.0,0.0,1.0,2.0,0.0,4.0,0.366,0.435,0.878,1.313,19.0,9.0,0.095,1.42,0.141,-0.045,1.2,9.0,1.0,,Pete_Alonso,201904100,True
126,10,3,   Keon Broxton PR-CF-LF,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.286,0.375,0.286,0.661,5.0,3.0,-0.002,0.07,0.0,-0.002,-0.4,0.0,0.0,,Keon_Broxton,201904100,True
127,10,4,Robinson Cano 2B,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.2,0.265,0.356,0.621,18.0,7.0,0.071,1.0,0.102,-0.031,1.6,0.0,1.0,,Robinson_Cano,201904100,True
128,10,5,   Luis Guillorme PR-2B,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.167,0.286,0.167,0.452,6.0,3.0,-0.002,0.08,0.0,-0.002,-0.3,1.0,2.0,,Luis_Guillorme,201904100,True
129,10,6,Michael Conforto RF,3.0,0.0,1.0,3.0,1.0,0.0,4.0,0.372,0.46,0.674,1.134,23.0,14.0,0.033,0.82,0.07,-0.037,1.8,1.0,0.0,,Michael_Conforto,201904100,True
130,10,7,Wilson Ramos C,4.0,0.0,1.0,2.0,0.0,1.0,4.0,0.371,0.389,0.4,0.789,13.0,7.0,0.015,0.79,0.066,-0.051,0.8,10.0,1.0,,Wilson_Ramos,201904100,True
131,10,8,Jeff McNeil LF-3B,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.367,0.472,0.5,0.972,8.0,8.0,-0.137,1.11,0.039,-0.176,-0.5,0.0,0.0,,Jeff_McNeil,201904100,True
132,10,9,Amed Rosario SS,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.262,0.34,0.357,0.698,18.0,8.0,0.097,0.75,0.099,-0.002,0.1,0.0,4.0,,Amed_Rosario,201904100,True
133,10,10,J.D. Davis 3B,3.0,1.0,0.0,0.0,1.0,0.0,4.0,0.258,0.378,0.516,0.895,10.0,6.0,0.047,1.22,0.09,-0.043,-0.3,0.0,3.0,,J.D._Davis,201904100,True
134,10,12,Noah Syndergaard P,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.286,0.0,0.286,14.0,7.0,0.022,1.35,0.046,-0.024,0.0,2.0,0.0,SH,Noah_Syndergaard,201904100,True
135,10,15,Team Totals,27.0,9.0,5.0,9.0,10.0,10.0,39.0,0.185,0.421,0.185,0.606,162.0,88.0,0.329,1.01,0.807,-0.476,5.1,27.0,12.0,,Team_Totals,201904100,True
